  <entry n=""> 
  	<note type="occurencesNT"></note>
  	<form><orth></orth></form>
 	<gramGrp><pos></pos></gramGrp>
 	<sense></sense>
 	<sense n="1">1. †</sense>
 	<ref osisRef=""></ref>
 	<foreign xml:lang="grc"></foreign>
 </entry>

Order	LX	Strong	OccurencesNT	Source
1755	ἐντέλλομαι	G1781	15	
2124	εὐσέβεια	G2150	15	
2143	εὐχαριστία	G2169	15	
2333	θρίξ	G2359	15	
2420	Ἰορδάνης	G2446	15	
2612	καταλαμβάνω	G2638	15	
2791	κληρονόμος	G2818	15	
2909	κτίζω	G2936	15	
2949	Λάζαρος	G2976	15	
3000	λῃστής	G3027	15	
3304	μοιχεύω	G3431	15	
3389	νήπιος	G3516	15	
3416	νομίζω	G3543	15	
3456	ξηραίνω	G3583	15	
3479	ὅθεν	G3606	15	
3498	οἰκουμένη	G3625	15	
3539	ὁμοιόω	G3666	15	
3806	παρθένος	G3933	15	
3928	περισσότερος	G4055	15	
3946	πέτρα	G4073	15	
4095	ποτίζω	G4222	15	
4175	προλέγω	G4302	15	
4334	ῥαββί	G4461	15	
4404	σαλεύω	G4531	15	
4442	Σαῦλος	G4569	15	
4498	σκάνδαλον	G4625	15	
4724	συμφέρω	G4851	15	
4845	σφραγίζω	G4972	15	
5005	τράπεζα	G5132	15	
5091	ὑπακοή	G5218	15	
5207	φάσις	G5334	15	
5401	χόρτος	G5528	15	
5496	ὠφελέω	G5623	15	
1835	ἐπαγγέλλω	G1861	15	KJV
2226	ἤμην	G2252	15	KJV
3671	ὄψιος	G3798	15	KJV
3846	παύω	G3973	15	KJV
4794	συνιστάω	G4921	15	KJV
5052	τύπος	G5179	15	KJV
147	ἄκανθα	G173	14	
219	ἀλλότριος	G245	14	
271	ἀμφότεροι	G297	14	
286	ἀναγγέλλω	G312	14	
319	ἀνάκειμαι	G345	14	
376	ἀναχωρέω	G402	14	
404	ἀνέχομαι	G430	14	
410	ἀνθίστημι	G436	14	
504	ἅπαξ	G530	14	
518	ἀπειθέω	G544	14	
700	ἁρπάζω	G726	14	
790	ἀτενίζω	G816	14	
813	αὔριον	G839	14	
842	ἀφίσταμαι	G868	14	
1095	γράμμα	G1121	14	
1235	διαλογισμός	G1261	14	
1362	δόλος	G1388	14	
1597	ἕκτος	G1623	14	
1620	ἐλάχιστος	G1646	14	
1737	ἐνιαυτός	G1763	14	
1961	ἐπίσταμαι	G1987	14	
2139	εὐφραίνω	G2165	14	
2354	θύω	G2380	14	
2631	κατανοέω	G2657	14	
2692	κατεσθίω	G2719	14	
2779	κλάω	G2806	14	
2790	κληρονομία	G2817	14	
2812	κοινός	G2839	14	
2813	κοινόω	G2840	14	
2947	κωφός	G2974	14	
3061	λύχνος	G3088	14	
3086	μακρόθεν	G3113	14	
3088	μακροθυμία	G3115	14	
3180	μερίζω	G3307	14	
3231	μέτρον	G3358	14	
3337	μύρον	G3464	14	
3412	νοέω	G3539	14	
3454	ξένος	G3581	14	
3507	οἷος	G3634	14	
3598	ὅριον	G3725	14	
3662	ὄφις	G3789	14	
3944	πετεινόν	G4071	14	
4200	προσδέχομαι	G4327	14	
4396	Σαδδουκαῖος	G4523	14	
4451	σεισμός	G4578	14	
4494	σῖτος	G4621	14	
4880	τάλαντον	G5007	14	
4886	ταπεινόω	G5013	14	
5302	φρόνιμος	G5429	14	
5433	χωλός	G5560	14	
4389	Ῥώμη	G4516	14	KJV
5097	ὑπάρχοντα	G5224	14	KJV
277	ἀνά	G303	13	
327	ἀναλαμβάνω	G353	13	
365	ἀναστροφή	G391	13	
380	Ἀνδρέας	G406	13	
483	ἄνωθεν	G509	13	
1113	δαιμονίζομαι	G1139	13	
1230	διαλέγομαι	G1256	13	
1282	διαφέρω	G1308	13	
1378	δράκων	G1404	13	
1459	ἔθος	G1485	13	
1579	ἐκπλήσσομαι	G1605	13	
1610	ἐλαία	G1636	13	
1628	ἐλεημοσύνη	G1654	13	
1676	ἐμπαίζω	G1702	13	
1777	ἕξ	G1803	13	
1795	ἐξαποστέλλω	G1821	13	
1810	ἑξῆς	G1836	13	
1829	ἔξωθεν	G1855	13	
1908	ἐπιζητέω	G1934	13	
2193	ζύμη	G2219	13	
2300	θερισμός	G2326	13	
2483	καθάπερ	G2509	13	
2560	καπνός	G2586	13	
2591	καταισχύνω	G2617	13	
2632	καταντάω	G2658	13	
2649	καταρτίζω	G2675	13	
2773	κλάσις	G2800	13	
2786	κλέπτω	G2813	13	
3109	Μάρθα	G3136	13	
3353	Ναζωραῖος	G3480	13	
3684	παιδεύω	G3811	13	
3687	παιδίσκη	G3814	13	
3735	παράδοσις	G3862	13	
3958	πιέζω	G4085	13	
4123	πρίν	G4250	13	
4614	στηρίζω	G4741	13	
4777	συνεργός	G4904	13	
4966	τίμιος	G5093	13	
4976	Τίτος	G5103	13	
5031	τρόπος	G5158	13	
5053	τύπτω	G5180	13	
5183	ὕψιστος	G5310	13	
5220	Φῆστος	G5347	13	
5436	χωρίζω	G5563	13	
1413	ἐάω	G1439	13	KJV
3270	μικρόν	G3397	13	KJV
68	ἄδικος	G94	12	
194	ἀλέκτωρ	G220	12	
347	ἀναπαύω	G373	12	
351	ἀναπίπτω	G377	12	
753	ἀσκός	G779	12	
807	αὐλή	G833	12	
871	Βαβυλών	G897	12	
884	βαπτιστής	G910	12	
902	βασανίζω	G928	12	
937	Βηθανία	G963	12	
942	βῆμα	G968	12	
968	βοάω	G994	12	
986	βουλή	G1012	12	
1001	βροντή	G1027	12	
1041	γέεννα	G1067	12	
1093	γόνυ	G1119	12	
1163	δέομαι	G1189	12	
1179	δεῦτε	G1205	12	
1245	διάνοια	G1271	12	
1324	δίκτυον	G1350	12	
1663	ἐμβλέπω	G1689	12	
1780	ἐξάγω	G1806	12	
2055	ἔσωθεν	G2081	12	
2173	Ζεβεδαῖος	G2199	12	
2537	κάλαμος	G2563	12	
2592	κατακαίω	G2618	12	
2595	κατάκειμαι	G2621	12	
2826	κολλάομαι	G2853	12	
2877	κράτος	G2904	12	
3002	λίαν	G3029	12	
3015	λιμός	G3042	12	
3060	λυχνία	G3087	12	
3067	Μαγδαληνή	G3094	12	
3095	μάλιστα	G3122	12	
3200	μεταβαίνω	G3327	12	
3347	μωρός	G3474	12	
3472	ὀδούς	G3599	12	
3490	οἰκοδεσπότης	G3617	12	
3578	ὅραμα	G3705	12	
3741	παραιτέομαι	G3868	12	
3929	περισσοτέρως	G4056	12	
4002	πληθύνω	G4129	12	
4020	πλουτέω	G4147	12	
4077	πόρνη	G4204	12	
4159	πρόθεσις	G4286	12	
4228	προσλαμβάνομαι	G4355	12	
4277	πρωΐ	G4404	12	
4314	πυνθάνομαι	G4441	12	
4327	πῶλος	G4454	12	
4337	ῥάβδος	G4464	12	
4378	ῥύμη	G4505	12	
4387	Ῥωμαῖος	G4514	12	
4410	σαλπίζω	G4537	12	
4545	Σολομών	G4672	12	
4570	σπλαγχνίζομαι	G4697	12	
4583	σπουδή	G4710	12	
4646	συγγενής	G4773	12	
4785	συνέχω	G4912	12	
5024	τρίς	G5151	12	
5050	τυγχάνω	G5177	12	
5071	ὑγιαίνω	G5198	12	
5094	ὑπαντάω	G5221	12	
5230	φιάλη	G5357	12	
5280	φονεύω	G5407	12	
5392	χοῖρος	G5519	12	
5426	χρυσίον	G5553	12	
5447	ψεύδομαι	G5574	12	
1039	γέ	G1065	12	KJV
1472	εἴην	G1498	12	KJV
2868	κράββατος	G2895	12	KJV
3957	πιάζω	G4084	12	KJV
32	ἀγορά	G58	11	
41	Ἀγρίππας	G67	11	
228	ἅλυσις	G254	11	
341	Ἁνανίας	G367	11	
369	ἀνατολή	G395	11	
457	ἀντιλέγω	G483	11	
507	ἀπαρνέομαι	G533	11	
544	ἀπιστία	G570	11	
562	ἀποδέχομαι	G588	11	
633	ἀποτίθημι	G659	11	
718	ἀρχαῖος	G744	11	
852	ἄφρων	G878	11	
886	Βαραββᾶς	G912	11	
1009	βρῶσις	G1035	11	
1031	Γαλιλαῖος	G1057	11	
1047	γέμω	G1073	11	
1137	δεῖ	G1163	11	
1240	διαμερίζω	G1266	11	
1364	δόμα	G1390	11	
1405	δωρεά	G1431	11	
1471	εἴδωλον	G1497	11	
1475	εἴκοσι(ν)	G1501	11	
1495	εἰσάγω	G1521	11	
1611	ἔλαιον	G1637	11	
1631	ἐλευθερία	G1657	11	
1705	ἐνδείκνυμι	G1731	11	
1822	ἐξουθενέω	G1848	11	
1842	ἔπαινος	G1868	11	
1844	ἐπαισχύνομαι	G1870	11	
1919	ἐπίκειμαι	G1945	11	
1942	ἐπιπίπτω	G1968	11	
1954	ἐπισκέπτομαι	G1980	11	
2028	ἔρις	G2054	11	
2171	Ζαχαρίας	G2197	11	
2180	ζηλόω	G2206	11	
2201	ζῳοποιέω	G2227	11	
2263	θανατόω	G2289	11	
2264	θάπτω	G2290	11	
2284	θεμέλιος	G2310	11	
2355	Θωμᾶς	G2381	11	
2519	καίω	G2545	11	
2523	κακία	G2549	11	
2576	καταβολή	G2602	11	
2654	κατασκευάζω	G2680	11	
2718	καύχημα	G2745	11	
2719	καύχησις	G2746	11	
2741	κέρας	G2768	11	
2771	κλάδος	G2798	11	
2792	κλῆρος	G2819	11	
3014	λίμνη	G3041	11	
3090	μακρός	G3117	11	
3227	μετρέω	G3354	11	
3368	νεανίσκος	G3495	11	
3534	ὁμοθυμαδόν	G3661	11	
3600	ὅρκος	G3727	11	
3950	πηγή	G4077	11	
4038	ποιμαίνω	G4165	11	
4102	πρᾶγμα	G4229	11	
4113	πραΰτης	G4240	11	
4260	πρότερος	G4387	11	
4312	πύλη	G4439	11	
4409	σάλπιγξ	G4536	11	
4413	Σαμάρεια	G4540	11	
4571	σπλάγχνον	G4698	11	
4577	σπουδάζω	G4704	11	
4843	σφόδρα	G4970	11	
4850	σχίζω	G4977	11	
4926	τελευτάω	G5053	11	
5017	τριάκοντα	G5144	11	
5057	Τύρος	G5184	11	
5072	ὑγιής	G5199	11	
5143	ὑποκάτω	G5270	11	
5181	ὑψηλός	G5308	11	
5325	φυτεύω	G5452	11	
5334	φωτίζω	G5461	11	
5374	χείρων	G5501	11	
5380	χίλιοι	G5507	11	
5382	χιτών	G5509	11	
5403	χράομαι	G5530	11	
5451	ψευδοπροφήτης	G5578	11	
2794	κλῆσις	G2821	11	
3254	μήπως	G3381	11	KJV
5322	φύσις	G5449	11	KJV
12	ἁγιασμός	G38	10	
27	ἁγνός	G53	10	
60	ᾅδης	G86	10	
76	ἀδύνατος	G102	10	
79	ἀετός	G105	10	
141	ἀκαθαρσία	G167	10	
234	ἅμα	G260	10	
373	ἀναφέρω	G399	10	
594	ἀπολείπω	G620	10	
599	Ἀπολλῶς	G625	10	
600	ἀπολογέομαι	G626	10	
603	ἀπολύτρωσις	G629	10	
740	ἀσέλγεια	G766	10	
757	ἀσπασμός	G783	10	
825	ἀφαιρέω	G851	10	
847	ἀφορίζω	G873	10	
856	Ἀχαΐα	G882	10	
950	βίβλος	G976	10	
953	βίος	G979	10	
1118	δάκρυον	G1144	10	
1177	δεσπότης	G1203	10	
1319	δικαίωμα	G1345	10	
1349	διωγμός	G1375	10	
1433	ἐγκαταλείπω	G1459	10	
1555	ἐκκόπτω	G1581	10	
1575	ἐκπίπτω	G1601	10	
1692	ἐμφανίζω	G1718	10	
1740	ἔνατος	G1766	10	
1751	ἔνοχος	G1777	10	
1756	ἐντεῦθεν	G1782	10	
1817	ἐξομολογέω	G1843	10	
1868	ἐπειδή	G1894	10	
1978	ἐπιτάσσω	G2004	10	
1979	ἐπιτελέω	G2005	10	
2320	θλίβω	G2346	10	
2419	Ἰόππη	G2445	10	
2453	ἰσχύς	G2479	10	
2520	κἀκεῖ	G2546	10	
2521	κἀκεῖθεν	G2547	10	
2795	κλητός	G2822	10	
2817	κοινωνός	G2844	10	
2838	κομίζω	G2865	10	
2848	κόπτω	G2875	10	
2858	κοσμέω	G2885	10	
2961	λαμπρῶς	G2988	10	
3087	μακροθυμέω	G3114	10	
3452	ξενίζω	G3579	10	
3496	οἰκονόμος	G3623	10	
3560	ὀνομάζω	G3687	10	
3562	ὄντως	G3689	10	
3714	παντοκράτωρ	G3841	10	
3728	παράγω	G3855	10	
3758	παραλυτικός	G3885	10	
3798	παρεμβολή	G3925	10	
3833	πατάσσω	G3960	10	
3869	πενθέω	G3996	10	
3926	περισσός	G4053	10	
3931	περιστερά	G4058	10	
3979	πλάνη	G4106	10	
3997	πλεονεξία	G4124	10	
4037	ποικίλος	G4164	10	
4078	πόρνος	G4205	10	
4215	προσκαρτερέω	G4342	10	
4449	σέβομαι	G4576	10	
4474	σιγάω	G4601	10	
4496	σιωπάω	G4623	10	
4628	στρατηγός	G4755	10	
4675	συζητέω	G4802	10	
4762	σύνδουλος	G4889	10	
4842	σφάζω	G4969	10	
4903	ταχέως	G5030	10	
4940	τέταρτος	G5067	10	
5136	ὑποδείκνυμι	G5263	10	
5139	ὑπόδημα	G5266	10	
5145	ὑπόκρισις	G5272	10	
5212	φείδομαι	G5339	10	
5417	χρηστότης	G5544	10	
5430	χρυσός	G5557	10	
5435	χωρέω	G5562	10	
5437	χωρίον	G5564	10	
5452	ψεῦδος	G5579	10	
5456	ψεύστης	G5583	10	
3465	ὅδε	G3592	10	
1878	ἐπέρχομαι	G1904	10	KJV
3172	μέλω	G3199	10	KJV
4259	πρότερον	G4386	10	KJV
50	Ἀδάμ	G76	9	
80	ἄζυμος	G106	9	
113	αἵρεσις	G139	9	
192	ἀλείφω	G218	9	
262	ἄμπελος	G288	9	
289	ἀναγκάζω	G315	9	
364	ἀναστρέφω	G390	9	
367	ἀνατέλλω	G393	9	
433	ἄνομος	G459	9	
481	ἄνω	G507	9	
510	ἀπαρχή	G536	9	
567	ἀποδοκιμάζω	G593	9	
641	ἀποφέρω	G667	9	
726	ἀρχισυνάγωγος	G752	9	
739	ἀσεβής	G765	9	
770	ἀστραπή	G796	9	
980	βόσκω	G1006	9	
1038	γαστήρ	G1064	9	
1080	γνώμη	G1106	9	
1111	γωνία	G1137	9	
1178	δεῦρο	G1204	9	
1261	διασκορπίζω	G1287	9	
1278	διατρίβω	G1304	9	
1406	δωρεάν	G1432	9	
1416	ἕβδομος	G1442	9	
1468	εἰδωλόθυτον	G1494	9	
1531	ἐκδίκησις	G1557	9	
1639	Ἐλισάβετ	G1665	9	
1762	ἐντρέπω	G1788	9	
1809	ἑξήκοντα	G1835	9	
1903	ἐπιδίδωμι	G1929	9	
1945	ἐπιποθέω	G1971	9	
2025	ἐρίζω	G2051	9	
2054	ἔσω	G2080	9	
2075	εὐάρεστος	G2101	9	
2081	εὐδοκία	G2107	9	
2150	εὐώνυμος	G2176	9	
2322	θνῄσκω	G2348	9	
2449	Ἰσραηλίτης	G2475	9	
2469	Ἰωνᾶς	G2495	9	
2481	καθαιρέω	G2507	9	
2507	Καϊάφας	G2533	9	
2583	κατάγω	G2609	9	
2637	κατάπαυσις	G2663	9	
2680	καταφρονέω	G2706	9	
2709	κάτω	G2736	9	
2755	κήρυγμα	G2782	9	
2759	Κηφᾶς	G2786	9	
2767	κίνδυνος	G2794	9	
2774	κλάσμα	G2801	9	
2778	κλαυθμός	G2805	9	
2798	κλίνη	G2825	9	
2878	κραυγάζω	G2905	9	
2898	κρούω	G2925	9	
2958	λαμπάς	G2985	9	
2988	λεπρός	G3015	9	
2996	λέων	G3023	9	
3007	λιθάζω	G3034	9	
3108	μαργαρίτης	G3135	9	
3197	μεστός	G3324	9	
3215	μεταξύ	G3342	9	
3216	μεταπέμπομαι	G3343	9	
3287	μνᾶ	G3414	9	
3312	μονογενής	G3439	9	
3417	νομικός	G3544	9	
3484	οἰκέω	G3611	9	
3495	οἰκονομία	G3622	9	
3552	ὀνειδίζω	G3679	9	
3643	οὐράνιος	G3770	9	
3828	παρρησιάζομαι	G3955	9	
3939	περίχωρος	G4066	9	
3970	πιπράσκω	G4097	9	
3994	πλεονάζω	G4121	9	
4154	προέρχομαι	G4281	9	
4184	προπέμπω	G4311	9	
4249	προσφορά	G4376	9	
4414	Σαμαρίτης	G4541	9	
4422	Σαούλ	G4549	9	
4455	σελήνη	G4582	9	
4478	Σιδών	G4605	9	
4543	Σόδομα	G4670	9	
4587	στάσις	G4714	9	
4612	στήκω	G4739	9	
4622	στολή	G4749	9	
4883	τάξις	G5010	9	
4908	ταχύ	G5035	9	
4911	τεῖχος	G5038	9	
5015	τρέφω	G5142	9	
5176	ὑστέρημα	G5303	9	
5179	ὕστερος	G5306	9	
5217	Φῆλιξ	G5344	9	
5224	φθείρω	G5351	9	
5228	φθόνος	G5355	9	
5229	φθορά	G5356	9	
5281	φόνος	G5408	9	
5357	χάριν	G5484	9	
5410	χρηματίζω	G5537	9	
3393	νῆσος	G3520	9	
2225	ἡμέτερος	G2251	9	KJV
2959	λαμπρός	G2986	9	KJV
4109	πρᾳότης	G4236	9	KJV
4153	προερέω	G4280	9	KJV
49	ἀγωνίζομαι	G75	8	
70	ἀδόκιμος	G96	8	
108	αἰνέω	G134	8	
273	ἄμωμος	G299	8	
290	ἀναγκαῖος	G316	8	
454	ἀντίκειμαι	G480	8	
527	ἀπεκδέχομαι	G553	8	
543	ἀπιστέω	G569	8	
546	ἁπλότης	G572	8	
574	ἀποκαθίστημι	G600	8	
601	ἀπολογία	G627	8	
666	ἀργός	G692	8	
688	ἀρκέω	G714	8	
780	ἀσφαλῶς	G806	8	
836	ἄφθαρτος	G862	8	
873	βάθος	G899	8	
923	βέβαιος	G949	8	
924	βεβαιόω	G950	8	
939	Βηθλέεμ	G965	8	
971	βοηθέω	G997	8	
990	βοῦς	G1016	8	
999	βρέφος	G1025	8	
1000	βρέχω	G1026	8	
1046	γεμίζω	G1072	8	
1085	γογγύζω	G1111	8	
1121	δάκτυλος	G1147	8	
1224	διακόσιοι	G1250	8	
1246	διανοίγω	G1272	8	
1265	διαστέλλομαι	G1291	8	
1269	διασῴζω	G1295	8	
1308	διηγέομαι	G1334	8	
1381	δρέπανον	G1407	8	
1507	εἰσφέρω	G1533	8	
1596	ἐκτός	G1622	8	
1601	ἐκφέρω	G1627	8	
1602	ἐκφεύγω	G1628	8	
1644	ἕλκω	G1670	8	
1701	ἐναντίος	G1727	8	
1716	ἔνδυμα	G1742	8	
1727	ἐνέργεια	G1753	8	
1733	ἐνθάδε	G1759	8	
1781	ἐξαιρέω	G1807	8	
1924	ἐπιλανθάνομαι	G1950	8	
1970	ἐπισυνάγω	G1996	8	
2040	ἐσθής	G2066	8	
2102	εὐλογητός	G2128	8	
2109	εὐνοῦχος	G2135	8	
2189	ζιζάνιον	G2215	8	
2197	ζώνη	G2223	8	
2218	ἡλικία	G2244	8	
2266	θαρρέω	G2292	8	
2317	θησαυρίζω	G2343	8	
2443	Ἰσκαριώτης	G2469	8	
2546	καλύπτω	G2572	8	
2566	καρποφορέω	G2592	8	
2687	κατέναντι	G2713	8	
2700	κατηχέω	G2727	8	
2764	Κιλικία	G2791	8	
2768	κινέω	G2795	8	
2814	κοινωνέω	G2841	8	
2850	κοράσιον	G2877	8	
2856	Κορνήλιος	G2883	8	
2918	κύκλῳ	G2945	8	
3111	Μᾶρκος	G3138	8	
3143	μεγαλύνω	G3170	8	
3150	μεθερμηνεύω	G3177	8	
3171	Μελχισέδεκ	G3198	8	
3178	μέντοι	G3305	8	
3221	μετέχω	G3348	8	
3232	μέτωπον	G3359	8	
3291	μνῆμα	G3418	8	
3334	μυριάς	G3461	8	
3431	νότος	G3558	8	
3433	νουθετέω	G3560	8	
3438	νύμφη	G3565	8	
3448	Νῶε	G3575	8	
3457	ξηρός	G3584	8	
3511	ὀκτώ	G3638	8	
3614	ὅσιος	G3741	8	
3624	ὀσφῦς	G3751	8	
3716	πάντως	G3843	8	
3841	πατρίς	G3968	8	
3933	περιτίθημι	G4060	8	
4076	πορνεύω	G4203	8	
4105	πραιτώριον	G4232	8	
4164	προΐστημι	G4291	8	
4223	προσκόπτω	G4350	8	
4236	προσπίπτω	G4363	8	
4289	πρωτότοκος	G4416	8	
4369	ῥίπτω	G4496	8	
4423	σαπρός	G4550	8	
4482	Σίλας	G4609	8	
4626	στράτευμα	G4753	8	
4652	συγκαλέω	G4779	8	
4689	συλλέγω	G4816	8	
4692	συμβαίνω	G4819	8	
4697	συμβούλιον	G4824	8	
4820	Συρία	G4947	8	
4851	σχίσμα	G4978	8	
4884	ταπεινός	G5011	8	
4894	τάσσω	G5021	8	
4907	τάχος	G5034	8	
4913	τεκνίον	G5040	8	
5109	ὑπερβολή	G5236	8	
5353	χάραγμα	G5480	8	
522	ἄπειμι	G548	8	
523	ἄπειμι	G549	8	
2444	ἴσος	G2470	8	
3597	ὁρίζω	G3724	8	KJV
8	ἀγέλη	G34	7	
22	ἁγνίζω	G48	7	
78	ἀεί	G104	7	
83	ἀήρ	G109	7	
149	ἄκαρπος	G175	7	
191	ἅλας	G217	7	
305	ἀνάθεμα	G331	7	
416	ἀνθρώπινος	G442	7	
441	ἀνταποδίδωμι	G467	7	
489	ἀξιόω	G515	7	
513	ἀπάτη	G539	7	
517	ἀπείθεια	G543	7	
792	ἀτιμάζω	G818	7	
793	ἀτιμία	G819	7	
835	ἀφθαρσία	G861	7	
848	ἀφορμή	G874	7	
928	Βεελζεβούλ	G954	7	
1004	βρυγμός	G1030	7	
1187	δηλόω	G1213	7	
1268	διαστρέφω	G1294	7	
1277	διατίθεμαι	G1303	7	
1356	δοκιμή	G1382	7	
1358	δόκιμος	G1384	7	
1376	δουλόω	G1402	7	
1421	Ἑβραϊστί	G1447	7	
1432	ἐγκαλέω	G1458	7	
1470	εἰδωλολάτρης	G1496	7	
1541	ἐκζητέω	G1567	7	
1563	ἐκλογή	G1589	7	
1585	ἔκστασις	G1611	7	
1633	ἐλευθερόω	G1659	7	
1680	ἐμπίπτω	G1706	7	
1717	ἐνδυναμόω	G1743	7	
1893	ἐπίγειος	G1919	7	
1899	ἐπιδείκνυμι	G1925	7	
1962	ἐπιστάτης	G1988	7	
1973	ἐπίστασις	G1999	7	
1977	ἐπιταγή	G2003	7	
2000	ἐποικοδομέω	G2026	7	
2026	ἐριθεία	G2052	7	
2097	εὐκοπώτερος	G2123	7	
2146	εὔχομαι	G2172	7	
2181	ζηλωτής	G2207	7	
2188	ζήτησις	G2214	7	
2277	θεῖον	G2303	7	
2325	θόρυβος	G2351	7	
2369	ἰατρός	G2395	7	
2384	Ἰεριχώ	G2410	7	
2486	καθαρισμός	G2512	7	
2490	καθέζομαι	G2516	7	
2640	καταπίνω	G2666	7	
2787	κλῆμα	G2814	7	
2800	κλίνω	G2827	7	
2821	κόκκος	G2848	7	
2883	κρεμάννυμι	G2910	7	
2905	κτάομαι	G2932	7	
2934	κυριεύω	G2961	7	
2962	λάμπω	G2989	7	
2990	Λευί	G3017	7	
3009	λιθοβολέω	G3036	7	
3119	μαστιγόω	G3146	7	
3157	μεθύω	G3184	7	
3208	μεταλαμβάνω	G3335	7	
3290	μνεία	G3417	7	
3301	μοιχαλίς	G3428	7	
3566	ὄπισθεν	G3693	7	
3654	ὀφειλέτης	G3781	7	
3692	πάλαι	G3819	7	
3710	πανταχοῦ	G3837	7	
3720	παράβασις	G3847	7	
3877	πεντήκοντα	G4004	7	
3890	περιβλέπομαι	G4017	7	
3986	πλατεῖα	G4113	7	
4027	πνέω	G4154	7	
4043	πολεμέω	G4170	7	
4062	πονηρία	G4189	7	
4090	ποταπός	G4217	7	
4114	πρέπω	G4241	7	
4230	προσμένω	G4357	7	
4240	προστάσσω	G4367	7	
4250	προσφωνέω	G4377	7	
4303	πτῶμα	G4430	7	
4359	ῥήγνυμι	G4486	7	
4374	ῥομφαία	G4501	7	
4432	σαρκικός	G4559	7	
4495	Σιών	G4622	7	
4512	σκιά	G4639	7	
4559	σπεῖρα	G4686	7	
4609	Στέφανος	G4736	7	
4627	στρατεύομαι	G4754	7	
4669	συγχαίρω	G4796	7	
4695	συμβιβάζω	G4822	7	
4699	Συμεών	G4826	7	
4746	συνανάκειμαι	G4873	7	
4780	σύνεσις	G4907	7	
4810	συντρίβω	G4937	7	
4885	ταπεινοφροσύνη	G5012	7	
4901	τάφος	G5028	7	
5010	τράχηλος	G5137	7	
5152	ὑπομιμνῄσκω	G5279	7	
5159	ὑποπόδιον	G5286	7	
5221	φθάνω	G5348	7	
5243	φίλημα	G5370	7	
5265	φιμόω	G5392	7	
5268	φλόξ	G5395	7	
5279	φονεύς	G5406	7	
5294	φρέαρ	G5421	7	
5321	φυσιόω	G5448	7	
5338	χαλάω	G5465	7	
5364	χεῖλος	G5491	7	
5416	χρηστός	G5543	7	
5441	ψαλμός	G5568	7	
5476	ᾠδή	G5603	7	
1404	δῶμα	G1430	7	
502	ἀπαντάω	G528	7	KJV
704	ἄῤῥην	G730	7	KJV
1249	διαπαντός	G1275	7	KJV
1738	ἐνίστημι	G1764	7	KJV
3564	ὀξύς	G3691	7	KJV
47	ἀγών	G73	6	
97	αἰγιαλός	G123	6	
126	αἰσχύνη	G152	6	
173	ἀκριβῶς	G199	6	
180	ἄκρον	G206	6	
181	Ἀκύλας	G207	6	
197	Ἀλέξανδρος	G223	6	
210	ἀλλάσσω	G236	6	
321	ἀνακλίνω	G347	6	
337	ἀναμιμνῄσκω	G363	6	
352	ἀναπληρόω	G378	6	
427	ἀνόητος	G453	6	
479	ἀνυπόκριτος	G505	6	
490	ἀξίως	G516	6	
519	ἀπειθής	G545	6	
563	ἀποδημέω	G589	6	
570	ἀποθήκη	G596	6	
583	ἀποκόπτω	G609	6	
610	ἀποπλέω	G636	6	
613	ἀπορέω	G639	6	
624	ἀποστερέω	G650	6	
631	ἀποτάσσομαι	G657	6	
657	ἀπωθέομαι	G683	6	
737	ἀσέβεια	G763	6	
889	βάρβαρος	G915	6	
890	βαρέω	G916	6	
896	βάρος	G922	6	
900	βαρύς	G926	6	
903	βασανισμός	G929	6	
916	βάτος	G942	6	
917	βάτος	G943	6	
920	βδέλυγμα	G946	6	
1232	διάλεκτος	G1258	6	
1250	διαπεράω	G1276	6	
1285	διαφθείρω	G1311	6	
1286	διαφθορά	G1312	6	
1300	διεγείρω	G1326	6	
1303	διερμηνεύω	G1329	6	
1338	δίς	G1364	6	
1359	δοκός	G1385	6	
1435	ἐγκεντρίζω	G1461	6	
1474	εἰκῇ	G1500	6	
1486	εἴπερ	G1512	6	
1525	ἐκδέχομαι	G1551	6	
1530	ἐκδικέω	G1556	6	
1536	ἐκδύω	G1562	6	
1547	ἐγκακέω	G1573	6	
1690	ἐμπτύω	G1716	6	
1707	ἕνδεκα	G1733	6	
1736	ἔνι	G1762	6	
1792	ἐξαπατάω	G1818	6	
1798	ἐξαυτῆς	G1824	6	
1808	ἐξηγέομαι	G1834	6	
1841	ἐπαινέω	G1867	6	
1884	ἐπιβαίνω	G1910	6	
1910	ἐπίθεσις	G1936	6	
1989	ἐπιφάνεια	G2015	6	
2013	ἐργασία	G2039	6	
2019	ἐραυνάω	G2045	6	
2163	ἔχθρα	G2189	6	
2184	ζημιόω	G2210	6	
2192	ζυγός	G2218	6	
2240	Ἡρῳδιάς	G2266	6	
2272	θαυμαστός	G2298	6	
2302	θερμαίνομαι	G2328	6	
2323	θνητός	G2349	6	
2342	θυμίαμα	G2368	6	
2404	Ἰκόνιον	G2430	6	
2418	ἱνατί	G2444	6	
2504	καθότι	G2530	6	
2533	κακόω	G2559	6	
2548	κάμηλος	G2574	6	
2569	κάρφος	G2595	6	
2618	καταλλάσσω	G2644	6	
2639	καταπέτασμα	G2665	6	
2645	κατάρα	G2671	6	
2679	καταφιλέω	G2705	6	
2760	κιβωτός	G2787	6	
2780	κλείς	G2807	6	
2820	κόκκινος	G2847	6	
2832	κόλπος	G2859	6	
2855	Κόρινθος	G2882	6	
